source,dest,time
28777,39203,20081116
52455,44173,20081003
36506,39207,20081012
25977,39203,20081119
37341,39203,20081122
57153,54942,20081114
39203,36215,20081109
37340,36215,20081022
37341,39203,20081207
37340,36215,20081111
36215,37341,20080929
37281,30825,20081113
31825,28641,20081214
42500,43040,20081121
39158,39203,20081208
36215,36584,20081027
53061,37341,20081114
37341,39203,20081001
37341,39741,20081007
39203,36464,20081207
36215,39158,20081005
36508,40267,20081213
36216,36815,20081209
40609,39821,20081213
54614,54746,20081121
36584,37124,20081110
39203,33245,20081119
50538,50863,20081008
39203,36913,20081206
25368,37341,20081011
54489,57153,20081114
36563,36215,20081210
36215,28864,20081118
36584,37341,20081210
37340,36215,20081026
37341,36215,20081113
26008,28044,20081116
39203,38623,20081121
37177,37341,20081117
37195,35797,20081007
40176,40176,20080928
36563,31981,20081202
25996,25996,20081011
27669,37341,20081211
37341,36584,20081120
36466,37341,20081203
39203,35797,20081019
37340,36215,20081020
30818,37341,20081113
36663,36215,20081023
36004,37341,20080927
36487,36215,20081112
36215,39203,20081110
48315,48317,20080930
36215,36818,20081121
36913,36898,20081012
36765,37341,20081205
37341,39203,20081118
54645,46512,20081121
37340,27669,20081211
39203,37341,20081112
28864,26455,20081116
36216,30329,20081212
36466,35799,20081212
36215,39203,20081112
36913,43121,20081206
30329,37341,20081212
39203,37341,20081207
28864,37341,20081118
40176,40176,20080928
36508,39819,20081008
36215,36723,20081114
39203,30933,20081214
39742,37341,20081025
37340,39158,20081204
43121,38951,20081206
37341,37341,20081009
37288,37362,20080927
37068,36973,20080927
43643,37341,20081121
28641,39203,20081214
37400,37341,20081202
30825,40073,20080928
37340,34173,20081208
36584,39203,20081122
50427,51246,20081003
29135,37341,20080926
36484,36215,20081008
35797,36283,20081025
36484,36215,20081027
37341,37341,20081208
35797,36215,20081006
36466,36215,20081204
37341,34108,20080926
30819,36466,20081203
36508,37341,20081008
36215,37791,20081114
37340,36215,20081019
36215,37341,20081022
36466,36215,20081118
36987,37341,20081009
39203,36584,20081110
36564,27815,20081011
25996,25368,20081011
37285,37341,20081006
37340,37341,20081207
50427,51237,20081003
37341,36215,20080927
37341,37341,20081118
22136,34081,20081213
37340,37177,20081116
37341,37341,20081027
39158,37341,20081202
36215,37341,20081208
39203,36913,20081012
37341,39203,20081115
36487,37177,20081201
36484,25977,20081119
34121,35945,20080927
36905,36506,20081012
44173,44177,20081003
39203,28864,20081116
36851,37124,20081020
36508,36215,20080928
36447,37341,20081211
40609,40383,20080928
36214,34761,20080927
27148,27297,20090407
27296,27296,20090116
27293,27297,20090312
27671,27297,20090418
27296,27296,20090313
27793,27296,20090115
28588,29654,20090321
27149,27296,20090314
36733,52169,20090220
28593,27296,20090408
25561,28492,20090312
27151,28495,20090325
28208,27297,20090311
27296,28641,20090117
28377,27296,20090113
34293,35725,20081114
33364,33527,20081210
35728,35728,20081025
33529,35727,20081112
33513,35725,20081117
33527,36464,20081028
33363,34448,20081103
34076,34449,20081213
35722,34448,20081030
34111,34076,20081208
33512,35727,20081113
33526,33361,20081029
34111,34111,20081215
34076,35727,20081123
34437,25810,20081115
36464,34076,20081214
33512,35727,20081110
35728,34449,20081026
35727,33513,20081116
32783,33529,20081102
33527,33362,20081104
34293,35727,20081120
34437,34111,20081204
34255,35727,20081027
36464,35727,20081107
33527,36106,20081212
34293,33527,20081210
35727,33529,20081109
36485,34293,20081105
34076,34111,20081209
33513,35727,20081105
34077,34256,20081112
