source,dest,daytime
28777,39203,2008111608
52455,44173,2008100309
36506,39207,2008101207
25977,39203,2008111907
37341,39203,2008112203
57153,54942,2008111409
39203,36215,2008110923
37340,36215,2008102223
37341,39203,2008120707
37340,36215,2008111123
36215,37341,2008092909
37281,30825,2008111305
31825,28641,2008121409
42500,43040,2008112111
39158,39203,2008120812
36215,36584,2008102710
53061,37341,2008111412
37341,39203,2008100103
37341,39741,2008100711
39203,36464,2008120702
36215,39158,2008100509
36508,40267,2008121311
36216,36815,2008120905
40609,39821,2008121313
54614,54746,2008112107
36584,37124,2008111011
39203,33245,2008111908
50538,50863,2008100801
39203,36913,2008120606
25368,37341,2008101106
54489,57153,2008111409
36563,36215,2008121023
36215,28864,2008111806
36584,37341,2008121012
37340,36215,2008102623
37341,36215,2008111323
26008,28044,2008111606
39203,38623,2008112101
37177,37341,2008111708
37195,35797,2008100710
40176,40176,2008092811
36563,31981,2008120208
25996,25996,2008101105
27669,37341,2008121106
37341,36584,2008112009
36466,37341,2008120308
39203,35797,2008101911
37340,36215,2008102023
30818,37341,2008111306
36663,36215,2008102323
36004,37341,2008092712
36487,36215,2008111223
36215,39203,2008111008
48315,48317,2008093012
36215,36818,2008112106
36913,36898,2008101207
36765,37341,2008120503
37341,39203,2008111810
54645,46512,2008112109
37340,27669,2008121105
39203,37341,2008111212
28864,26455,2008111606
36216,30329,2008121202
36466,35799,2008121208
36215,39203,2008111209
36913,43121,2008120607
30329,37341,2008121206
39203,37341,2008120712
28864,37341,2008111808
40176,40176,2008092810
36508,39819,2008100800
36215,36723,2008111408
39203,30933,2008121407
39742,37341,2008102506
37340,39158,2008120408
43121,38951,2008120607
37341,37341,2008100911
37288,37362,2008092711
37068,36973,2008092705
43643,37341,2008112111
28641,39203,2008121410
37400,37341,2008120204
30825,40073,2008092807
37340,34173,2008120823
36584,39203,2008112206
50427,51246,2008100302
29135,37341,2008092610
36484,36215,2008100823
35797,36283,2008102506
36484,36215,2008102723
37341,37341,2008120805
35797,36215,2008100623
36466,36215,2008120423
37341,34108,2008092611
30819,36466,2008120308
36508,37341,2008100811
36215,37791,2008111407
37340,36215,2008101922
36215,37341,2008102205
36466,36215,2008111805
36987,37341,2008100911
39203,36584,2008111011
36564,27815,2008101104
25996,25368,2008101106
37285,37341,2008100608
37340,37341,2008120705
50427,51237,2008100309
37341,36215,2008092723
37341,37341,2008111805
22136,34081,2008121307
37340,37177,2008111623
37341,37341,2008102711
39158,37341,2008120211
36215,37341,2008120804
39203,36913,2008101206
37341,39203,2008111503
36487,37177,2008120123
36484,25977,2008111900
34121,35945,2008092712
36905,36506,2008101207
44173,44177,2008100310
39203,28864,2008111605
36851,37124,2008102006
36508,36215,2008092823
36447,37341,2008121102
40609,40383,2008092812
36214,34761,2008092712
27148,27297,2009040709
27296,27296,2009011609
27293,27297,2009031213
27671,27297,2009041803
27296,27296,2009031306
27793,27296,2009011511
28588,29654,2009032123
27149,27296,2009031409
36733,52169,2009022023
28593,27296,2009040804
25561,28492,2009031208
27151,28495,2009032508
28208,27297,2009031106
27296,28641,2009011702
28377,27296,2009011311
34293,35725,2008111403
33364,33527,2008121000
35728,35728,2008102514
33529,35727,2008111211
33513,35725,2008111700
33527,36464,2008102800
33363,34448,2008110309
